sep=,
"id","iname","price_pur","price1","price2","price3","price4","category","company","firstbalance","firstbalance_val","minbalance","img","active","ispack","scale","clr","siz","mdl","unit_name","unit_count","firstbalance_price","unit_id","min_price","sortin_cate","lastUpdate","ItemDiscription","expirtion_days","expirtion_days_alert","cate_id","isServiceItem","cost_id","id_inMainServer"
"24","مسطره حديد 30سم","12","5","5","5","17","مسطره حديد 30سم","","56","672","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"25","شمع صغير مسدس","5","5","5","5","8","شمع صغير مسدس","","385","1732.5","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"26","مسدس شمع كبير","125","5","5","5","210","شمع صغير مسدس","","2","1190","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"27","خرامه ","8","5","5","5","20","خرامه ","","5","40","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"28","6 دبوس الوان","4","5","5","5","10","6 دبوس الوان","","10","40","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"29","طقم قلم جاف الوان","15","25","25","25","25","طقم قلم جاف الوان","","6","90","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"30","KENKO KK-8985A","12.5","25","25","25","40","KENKO KK-8985A","","3","37.5","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"31","KENKO KK-200","7","25","25","25","15","KENKO KK-200","","3","21","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"32","سلوتيب عريض 60","20","25","25","25","30","سلوتيب عريض","","680","9520","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"33","بالته الوان","8","25","25","25","15","باص مكعبات","","24","400","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"34"," ماوس كمبيوتر بينور TP-TECH","25","25","25","25","60"," ماوس كمبيوتر","","13","325","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"35","بلو تاك فبركاسيل","46","25","25","25","75","بلو تاك فبركاسيل","","10","2116","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"36","علبه ميداليه شفاف","0.915","25","25","25","3","علبه ميداليه شفاف","","47","43.005","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"37","سلم و ثعبان ","3.75","10","10","10","10","سلم و ثعبان ","","6","22.5","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"38","دفتر كلك شفاف بالواحده","2","0.5","0.5","0.5","4","دفتر كلك ","","780","1560","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"39","فرش تلوين شفاف ","10","0.5","0.5","0.5","20","فرش تلوين شفاف ","","4","40","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"40","استيكه ROCK 3A","0.75","0.5","0.5","0.5","2","استيكه ROCK 3A","","150","112.5","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"41","فايل كبسوله FC 140 PRIMA","7.5","0.5","0.5","0.5","12","فايل كبسوله FC 140 PRIMA","","2140","13054","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"42","عقد بيع سياره","1","0.5","0.5","0.5","2.5","عقد بيع سياره","","230","230","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"43","عقد ايجار املاك","1","0.5","0.5","0.5","2.5","عقد ايجار املاك","","1400","1400","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"44","استيكر 3D ","8","0.5","0.5","0.5","20","استيكر 3D ","","150","1200","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"45","كتب تعليميه بالواحد","2.5","0.5","0.5","0.5","5","كتب تعليميه ","","216","540","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"46","شنطه وسط رجالي","15","0.5","0.5","0.5","30","شنطه وسط رجالي","","15","225","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"47","فرشه VEPA","10","0.5","0.5","0.5","25","فرشه VEPA","","40","400","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"48","استند فرشه اسنان","2.5","0.5","0.5","0.5","15","استند فرشه اسنان","","12","30","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"49","محفظه رجالي ELZEIRY","17.5","0.5","0.5","0.5","30","محفظه رجالي ELZEIRY","","7","122.5","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"50","استند سله كبيره","55","0.5","0.5","0.5","85","استند سله كبيره","","12","660","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"51","كارت  مكياج فراشه","35","35","35","35","70","لعبه مكياج فراشه","","3","37.5","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"52","لعبه مسدس صابون ","9","25","25","25","25","لعبه مسدس صابون ","","6","54","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"53","لعبه كمبيوتر مياه","8","25","25","25","25","لعبه كمبيوتر مياه","","3","24","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"54","لعبه مكعب بازل صغير","4","10","10","10","10","لعبه مكعب بازل","","34","136","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"55","اسبنر حديد","5","20","20","20","20","اسبنر حديد","","24","120","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"56","اسبنر بلاستيك","5","10","10","10","10","اسبنر حديد","","13","65","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"57","مسدس رشاش لون فضي","45","65","65","65","65","مسدس رشاش لون فضي","","7","315","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"58","مسدس رشاش لون اسود","28.5","50","50","50","50","مسدس رشاش لون اسود","","2","57","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"59","مسدس صابون شفاف","10","20","20","20","25","مسدس صابون شفاف","","17","170","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"60","جيتار صغير","15","30","30","30","30","جيتار صغير","","3","45","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"61","لعبه كارت تليفون سبايدرمان","10","25","25","25","25","لعبه كارت تليفون سبايدرمان","","1","10","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"62","علبه بطاريه ريموت","1.5","5","5","5","5","علبه بطاريه ريموت","","40","60","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"63","علبه حجر ساعه","1.5","5","5","5","5","علبه حجر ساعه","","85","127.5","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"64","لعبه نيشان مسدس","12","20","20","20","20","لعبه نيشان مسدس","","3","36","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"65","لعبه مسدس طلقات بلاستيك","15","35","35","35","35","لعبه مسدس طلقات بلاستيك","","2","30","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"66","لعبه عمود حلقات الوان","15","30","30","30","30","لعبه عمود حلقات الوان","","2","30","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"67","زينه رفيع عيد ميلاد","10","5","5","5","15","زينه رفيع عيد ميلاد","","295","2950","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"68","مدفع عيد ميلاد وسط جديد","20","20","20","20","35","مدفع عيد ميلاد كبير","","52","780","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"69","مدفع عيد ميلاد وسط","20","15","15","15","35","مدفع عيد ميلاد وسط","","66","1320","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"70","مدفع عيد ميلاد صغير","20","10","10","10","30","مدفع عيد ميلاد صغير","","90","1800","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"71","كيس بالون كبير HAPPY BIRTH بالواحده ","1","1","1","1","2","كيس بالون كبير HAPPY BIRTH بالواحده ","","7000","4200","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"72","كيس بالون 10قطعه","15","20","20","20","25","كيس بالون كبير HAPPY BIRTH بالواحده ","","160","2400","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"73","ماسك قطه ","1","15","15","15","5","ماسك قطه ","","46","46","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"74","بالون هليوم ارقام","13","15","15","15","25","بالون هليوم ارقام","","184","2392","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"75","اطباق عيد ميلاد","4.5","15","15","15","15","اطباق عيد ميلاد","","35","157.5","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"76","شمع عيدميلاد HAPPY","10","10","10","10","15","شمع عيدميلاد HAPPY","","94","940","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"77","شمع عيدميلاد سكينه","18","15","15","15","30","شمع عيدميلاد بالماسك","","26","468","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"78","شمع عيدميلاد شكل عربيه","15","12","12","12","35","شمع عيدميلاد ","","32","224","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"79","زينه فرع كبير ","10","10","10","10","18","زينه فرع كبير ","","68","680","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"80","زينه فرع صغير","7","5","5","5","12","زينه فرع صغير","","124","868","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"81","زينه شجره ص","7","7","7","7","12","زينه شجره","","35","245","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"82","شمع ارقام ","1.25","5","5","5","5","شمع ارقام ","","323","403.75","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"83","شريط HAPPY BIRTHDAY","6.5","15","15","15","15","شريط HAPPY BIRTHDAY","","34","221","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"84","ماسك BATMAN","5","10","10","10","10","ماسك BATMAN","","5","25","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"85","طرطور صغير","2.5","5","5","5","6","طرطور صغير","","31","77.5","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"86","طرطور كبير","10","10","10","10","20","طرطور كبير","","58","290","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"87","الوان فلومستر كبير 12","27.5","15","15","15","45","الوان فلومستر كبير 12","","200","5500","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"88","برطمان استيكه مثلث للواحده","0.3","1","1","1","1","برطمان استيكه مثلث للواحده","","100","30","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"89","الوان فلومستر 6 الوان","13","10","10","10","30","الوان فلومستر 6 الوان","","165","2145","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"90","حبل اي دي ","6","5","5","5","10","حبل اي دي ","","55","858","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"91","قطاعه سلوتيب","16","25","25","25","25","قطاعه سلوتيب","","2","32","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"92","ظرف كبير للواحده","1","1","1","1","2","ظرف كبير للواحده","","7000","7000","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"93","ظرف صغيرللواحده","0.75","0.5","0.5","0.5","2","ظرف صغيرللواحده","","4100","3075","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"94","كتاب اطفال اكتب وامسح","4.5","10","10","10","10","كتاب اطفال اكتب وامسح","","45","202.5","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"95","كوره هاند","65","35","35","35","135","كوره هاند","","76","3040","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"96","كيس استيك فلوس","10","5","5","5","20","كيس استيك فلوس","","175","1750","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"97","نوته بقلم","22.5","15","15","15","35","نوته بقلم","","28","4500","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"98","1","3","7.5","7.5","7.5","7.5","طرطور وسط","","50","150","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"99","شراشيب يد","20","20","20","20","35","شراشيب يد","","103","2060","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"100","ماسك FOX ","2.5","7","7","7","7","ماسك FOX","","30","75","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"101","اطباق عيدميلاد صغير","7","10","10","10","20","اطباق عيدميلاد صغير","","60","420","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"102","ساعه علبه رقمي ","30","60","60","60","60","ساعه علبه رقمي ","","4","120","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"103","ساعه اطفال رقمي","10","25","25","25","25","ساعه اطفال رقمي","","6","60","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"104","ساعه اطفال الاهلي","10","20","20","20","20","ساعه اطفال الاهلي","","7","70","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"105","فرشه شعر عريض","15","25","25","25","25","فرشه شعر عريض","","26","390","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"106","فرشه شعر بلاستك شفاف","6.5","15","15","15","15","فرشه شعر بلاستك شفاف","","8","52","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"107","خله","4.5","7.5","7.5","7.5","7.5","خله","","11","49.5","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"108","قطن ودان","3.5","10","10","10","10","قطن ودان","","32","112","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"109","استيك ملابس ابيض","0.85","5","5","5","5","استيك ملابس ابيض","","24","20.4","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"110","كارت ملقاط ذهبي","3","10","10","10","10","كارت ملقاط ذهبي","","24","72","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"111","علبه خياطه الذهبيه","0.62","3","3","3","5","علبه خياطه  الذهبيه","","70","43.4","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"112","محفظه اطفال","3","10","10","10","10","محفظه اطفال","","25","75","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"113","كارت ابره + خيط","5","12","12","12","15","كارت ابره + خيط","","10","50","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"114","طقم مشط","15","25","25","25","25","طقم مشط","","15","225","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"115","حافظه بطاقه ","0.5","5","5","5","5","حافظه بطاقه ","","85","42.5","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"116","علبه دبوس الوان رفيع","1.66","5","5","5","5","علبه دبوس الوان رفيع","","67","111.22","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"117","عقد بيع اراضي ","1","1","1","1","2.5","عقد بيع اراضي ","","300","300","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"118","مسدس شمع صغير","75","45","45","45","120","مسدس شمع صغير","","3","1125","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"119","ماوس ZERO","20","30","30","30","35","ماوس ZERO","","6","120","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"120","شمع مسدس الوان الوحده","2.5","5","5","5","5","شمع مسدس الوان","","20","50","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"121","قلم رصاص بناتي ","5","10","10","10","10","قلم رصاص عروسه","","60","300","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"122","قلم مكتب سابت","7.5","15","15","15","15","قلم مكتب سابت","","12","90","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"123","تيكت بالواحده و الاستيكر","0.9","2.5","2.5","2.5","2.5","تيكت بالواحده و الاستيكر","","150","135","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"124","سلوتيب صغيررفيع للواحده","2","2.5","2.5","2.5","5","سلوتيب صغير رفيع","","72","760","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"125","كتاب تلوين","2.5","5","5","5","12","كتاب تلوين","","81","202.5","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"126","شنطه هدايا وسط شعبي ","9","10","10","10","15","شنطه هدايا وسط","","368","3312","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"127","شنطه هدايا وسط مربع","10","8","8","8","25","شنطه هدايا صغير","","229","1431.25","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"128","شنطه هدايا صغي عريض","7","7","7","7","15","شنطه هدايا صغي عريض","","78","546","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"129","شنطه هدايا صغير ص","2.5","5","5","5","8","شنطه هدايا صغير ص","","312","780","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"130","كارت معيده","1","3","3","3","5","كارت معيده","","660","660","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"131","شعر لف هدايا ","5","10","10","10","10","شعر لف هدايا ","","43","215","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"132","بكركاشير 7.9  50متر","9","15","15","15","15","بكركاشير 7.9  50متر","","16","144","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"133","بوكس بلاستيك وسط","20","30","30","30","30","بوكس بلاستيك وسط","","5","100","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"134","بوكس بلاستيك صغير","10","20","20","20","20","بوكس بلاستيك صغير","","6","60","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"135","طياره سينسور ","36","80","80","80","80","طياره سينسور ","","4","144","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"136","طياره سينسور بالريموت","60","130","130","130","130","طياره سينسور بالريموت","","14","840","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"137","عروسه 2 قطعه FROZEN ","65","65","65","65","110","عروسه 2 قطعه FROZEN","","22","1430","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"138","علبه صياد سمك كبير بطاريه","85","85","85","85","125","علبه صياد سمك كبير","","26","2210","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"139","علبه عربيات","27","35","35","35","45","علبه عربيات","","38","1026","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"140","DARTS","40","100","100","100","100","DARTS","","2","80","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"141","لعبه باجي ","17.5","30","30","30","30","لعبه باجي ","","6","105","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"142","لعبه نقل مكعبات","9","20","20","20","20","لعبه نقل مكعبات","","2","18","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
